Fecha,Encuesta,N,Prob,p1,p2
16/11/2019,Cadem,704,0,82,16
17/11/2019,Activa Research,2000,0,81,8
22/11/2019,Cadem,706,0,85,12
26/11/2019,Activa Research,1159,0,79,7
26/11/2019,Criteria Research,1014,0,72,13
10/12/2019,Coes,1215,0,86,8
26/12/2019,Activa Research,1030,0,78,10
26/12/2019,Activa Research,562,1,94,5
03/01/2020,Cadem,709,0,72,20
06/01/2020,CEP,1496,0,67,13
10/01/2020,Cadem,707,0,74,19
15/01/2020,Mori,780,1,86,10
15/01/2020,Mori,1000,0,68,17
16/01/2020,Activa Research,950,0,78,9
16/01/2020,Activa Research,487,1,92,7
21/01/2020,Data Influye,1033,0,73,22
24/01/2020,Cadem,709,0,66,25
28/01/2020,Criteria Research,806,0,71,21
30/01/2020,Activa Research,975,0,69,15
30/01/2020,Activa Research,477,1,84,14
31/01/2020,Cadem,708,0,72,22
07/02/2020,Cadem,709,0,67,27
13/02/2020,Activa Research,1045,0,70,14
13/02/2020,Activa Research,525,1,80,18
14/02/2020,Cadem,705,0,67,26
18/02/2020,Data Influye,1445,0,75,15
21/02/2020,Cadem,705,0,67,25
28/02/2020,Activa Research,1043,0,70,13
28/02/2020,Activa Research,583,1,86,13
28/02/2020,Cadem,702,0,67,25
29/02/2020,Criteria Research,796,0,67,22
06/03/2020,Cadem,707,0,66,24
12/03/2020,Activa Research,1135,0,65,14
12/03/2020,Activa Research,690,1,83,15
13/03/2020,Cadem,702,0,68,21
16/03/2020,Data Influye,1273,0,74,18
20/03/2020,Cadem,702,0,62,25
27/03/2020,Activa Research,1230,0,69,17
27/03/2020,Activa Research,690,1,81,18
14/04/2020,Activa Research,1270,0,70,17
14/04/2020,Activa Research,725,1,85,13
28/04/2020,Activa Research,1227,0,74,11
28/04/2020,Activa Research,736,1,91,8
30/04/2020,Cadem,712,0,65,26
12/05/2020,Activa Research,1209,0,70,17
12/05/2020,Activa Research,724,1,85,14
30/05/2020,Activa Research,1215,0,70,13
30/05/2020,Activa Research,661,1,84,15
31/05/2020,Criteria Research,800,0,72,20
13/06/2020,Activa Research,1730,0,73,11
13/06/2020,Activa Research,960,1,91,9
28/06/2020,Activa Research,1260,0,68,13
28/06/2020,Activa Research,670,1,90,9
30/06/2020,Criteria Research,800,0,76,16
11/07/2020,Activa Research,1340,0,72,12
11/07/2020,Activa Research,747,1,88,11
31/07/2020,Criteria Research,800,0,75,17
01/08/2020,Activa Research,1430,0,77,10
01/08/2020,Activa Research,797,1,91,9
15/08/2020,Activa Research,1434,0,68,10
15/08/2020,Activa Research,857,1,89,10
24/08/2020,Data Influye,1940,0,73,13
29/08/2020,Activa Research,1544,0,71,12
29/08/2020,Activa Research,920,1,89,9
31/08/2020,Criteria Research,986,0,74,17
